Block Name,BlockMap Name,BlockMap Description,BlockMap is default,BlockMap Instance Name,BlockMap Instance Address,BlockMap Instance Access,BlockMap Address Offset
siracusa_top_block,top_map,Mapping of the global addresspsace,TRUE,soc.soc_map,0x0,,
siracusa_top_block,top_map,,,cluster.cluster_map,0x10000000,,
siracusa_top_block,top_map,,,soc_pll.pll_config_map,0x1a100000,,
siracusa_top_block,top_map,,,cluster_pll.pll_config_map,0x1a100010,,
siracusa_top_block,top_map,,,per_pll.pll_config_map,0x1a100020,,
siracusa_top_block,top_map,,,pad_cfg_functional.siracusa_pads_functional_config_map,0x1a140000,,
siracusa_top_block,top_map,,,pad_cfg_debug.siracusa_pads_debug_config_map,0x1a140000,,
siracusa_top_block,top_map,,,siracusa_ctrl.siracusa_ctrl_map,0x1a150000,,
soc_block,soc_map,SoC address mapping,TRUE,private_bank0,0x1c000000,,
soc_block,soc_map,,,private_bank1,0x1c008000,,
soc_block,soc_map,,,l2_ram,0x1c010000,,
soc_block,soc_map,,,soc_peripherals.soc_peripherals_map,0x1a100000,,
cluster_block,cluster_map,Cluster Address mapping (without cluster offset),TRUE,l1_ram,0x0,,
cluster_block,cluster_map,,,weight_mem.weight_mem_map,0x0,,
